snapshot,kingdom,basisOfRecord,occurrenceCount
12/17/08,8,FOSSIL_SPECIMEN,1
12/17/08,8,UNKNOWN,564
4/6/09,0,FOSSIL_SPECIMEN,35033
4/6/09,0,HUMAN_OBSERVATION,33771
4/6/09,0,LITERATURE,203
4/6/09,0,LIVING_SPECIMEN,1115
4/6/09,0,OBSERVATION,338498
4/6/09,0,PRESERVED_SPECIMEN,283724
4/6/09,0,UNKNOWN,268978
4/6/09,1,FOSSIL_SPECIMEN,659899
4/6/09,1,HUMAN_OBSERVATION,339265
4/6/09,1,LITERATURE,105013
4/6/09,1,LIVING_SPECIMEN,1262
4/6/09,1,OBSERVATION,75469655
4/6/09,1,PRESERVED_SPECIMEN,21702431
4/6/09,1,UNKNOWN,13180871
4/6/09,2,LIVING_SPECIMEN,376
4/6/09,2,PRESERVED_SPECIMEN,406
4/6/09,2,UNKNOWN,134
4/6/09,3,FOSSIL_SPECIMEN,634
4/6/09,3,HUMAN_OBSERVATION,260
4/6/09,3,LIVING_SPECIMEN,24196
4/6/09,3,OBSERVATION,33173
4/6/09,3,PRESERVED_SPECIMEN,67786
4/6/09,3,UNKNOWN,54211
4/6/09,4,FOSSIL_SPECIMEN,46353
4/6/09,4,HUMAN_OBSERVATION,738654
4/6/09,4,LIVING_SPECIMEN,3619
4/6/09,4,OBSERVATION,1709400
4/6/09,4,PRESERVED_SPECIMEN,117257
4/6/09,4,UNKNOWN,71950
4/6/09,5,FOSSIL_SPECIMEN,243
4/6/09,5,HUMAN_OBSERVATION,15516
4/6/09,5,LITERATURE,199
4/6/09,5,LIVING_SPECIMEN,95616
4/6/09,5,OBSERVATION,696151
4/6/09,5,PRESERVED_SPECIMEN,1503752
4/6/09,5,UNKNOWN,472527
4/6/09,6,FOSSIL_SPECIMEN,80938
4/6/09,6,HUMAN_OBSERVATION,708640
4/6/09,6,LITERATURE,34301
4/6/09,6,LIVING_SPECIMEN,440144
4/6/09,6,OBSERVATION,25451208
4/6/09,6,PRESERVED_SPECIMEN,14862372
4/6/09,6,UNKNOWN,15893924
4/6/09,7,FOSSIL_SPECIMEN,539
4/6/09,7,HUMAN_OBSERVATION,627
4/6/09,7,LIVING_SPECIMEN,2497
4/6/09,7,OBSERVATION,122863
4/6/09,7,PRESERVED_SPECIMEN,198469
4/6/09,7,UNKNOWN,9052
4/6/09,8,FOSSIL_SPECIMEN,1
4/6/09,8,LIVING_SPECIMEN,214
4/6/09,8,UNKNOWN,564
6/17/09,0,FOSSIL_SPECIMEN,35509
6/17/09,0,HUMAN_OBSERVATION,34429
6/17/09,0,LITERATURE,209
6/17/09,0,LIVING_SPECIMEN,1173
6/17/09,0,OBSERVATION,338509
6/17/09,0,PRESERVED_SPECIMEN,293121
6/17/09,0,UNKNOWN,279304
6/17/09,1,FOSSIL_SPECIMEN,677282
6/17/09,1,HUMAN_OBSERVATION,468865
6/17/09,1,LITERATURE,132077
6/17/09,1,LIVING_SPECIMEN,1262
6/17/09,1,OBSERVATION,79261719
6/17/09,1,PRESERVED_SPECIMEN,22218566
6/17/09,1,UNKNOWN,13268126
6/17/09,2,LIVING_SPECIMEN,399
